Articulo,Nombre,Rubro,Cantidad,Disponible
2044,"ALOE VERA JUGO X 250 ML ""NATIER""",SUPLEMENTOS,3,SI
2325,"ALOE VERA JUGO X 500 ML"" NATIER""",SUPLEMENTOS,2,SI
1121,ANILLOS DE AVENA Y MIEL X KG.,CEREALES,6,SI
1122,ANILLOS FRUTADOS X KG.,CEREALES,3,SI
1123,ANIS EN GRANO X KG.,ESPECIAS,1,SI
1124,ANIS ESTRELLADO X KG.,ESPECIAS,1,SI
2002,ARANDANOS CON CHOCO xKG,"DULCES, MIEL Y CHOCOLATES",6,SI
1126,ARANDANOS CONGELADOS X KG,PRODUCTOS CONGELADOS,-0,NO
1127,ARANDANOS DESHIDRATADOS X KG,DESHIDRATADOS,14,SI
1131,ARROZ INTEGRAL X KG.,GRANOS Y LEGUMBRES,6,SI
1133,ARROZ YAMANI X KG.,GRANOS Y LEGUMBRES,5,SI
2073,"ASHWAGANDHA X 60 CAPSULAS ""SOMOS SETA""",SUPLEMENTOS,4,SI
2411,"ASHWAGANDHA X 60 CC ""SOMOS SETA""",SUPLEMENTOS,4,SI
2010,AVELLANAS CON CHOCO XKG,"DULCES, MIEL Y CHOCOLATES",7,SI
1134,AVELLANAS SIN CASCARA X KG,FRUTOS SECOS,3,SI
1135,AVENA ARROLLADA GRUESA X KG,CEREALES,10,SI
5032,AVENA GRUESA INTEGRAL SIN TACC X350gr DICOMERE,PRODUCTOS SIN TACC,6,SI
5033,AVENA INSTANTANEA INTEGRAN SIN TACC X350gr DICOMERE,PRODUCTOS SIN TACC,3,SI
1136,AVENA INSTANTÁNEA X KG,CEREALES,2,SI
1137,AVENA TRADICIONAL X KG.,CEREALES,10,SI
1138,AZAFRAN ESPAÑOL X CAPSULA.,ESPECIAS,23,SI
1140,AZUCAR IMPALPABLE X KG.,"AZUCAR, CACAO Y REPOSTERIA",4,SI
1141,AZUCAR MASCABO X KG,"AZUCAR, CACAO Y REPOSTERIA",8,SI
1142,AZUCAR NEGRA X KG.,"AZUCAR, CACAO Y REPOSTERIA",1,SI
2455,BANANITAS CON CHOCO,"DULCES, MIEL Y CHOCOLATES",4,SI
2003,BARRA CHOCO 70% CON STEVIA x 100 g - COLONIAL,"DULCES, MIEL Y CHOCOLATES",21,SI
2268,BARRA CHOCO 80% X 100 g - COLONIAL,"DULCES, MIEL Y CHOCOLATES",20,SI
2004,BARRA CHOCO SIN AZUCAR x 100 g - COLONIAL,"DULCES, MIEL Y CHOCOLATES",19,SI
2103,"BARRA CROWIE ARROZ ""SIN TACC""",PRODUCTOS SIN TACC,59,SI
2014,BARRA MUECAS X45GR,SNACK,93,SI
4454,BARRA PROTA PROTEICA 59g,SNACK,52,SI
2506,"BARRA PROTEICA ""INTEGRA""",SNACK,11,SI
2074,"BARRAS ""CRUDDA"" X40Gr - SIN TACC",SNACK,128,SI
5031,BARRAS PROTEICAS X45 GR - ENTRENUTS,SNACK,35,SI
1147,BASTONCITO SALVADO TRIGO Y AVENA X KG.,CEREALES,2,SI
5042,BERBERINA X60CC - EL NATURALISTA,SUPLEMENTOS,4,SI
1150,BERENJENAS CONDIM.X 200 GR,ENCURTIDOS,6,SI
2089,BICARBONATO DE SODIO X KG,ESPECIAS,2,SI
2463,BISGLICINATO DE MAGNESIO NATIER 50 cápsulas,SUPLEMENTOS,0,NO
2326,BLEND DE TE X 30g,INFUSIONES Y HIERBAS,20,SI
1154,BOLDO X KG,INFUSIONES Y HIERBAS,1,SI
1155,BOLITAS DE CHOCOLATE X KG.,CEREALES,6,SI
2328,BOMBITA DEFUMACION X 4 uni. - SAGRADA MADRE,PALADEAR HOME,11,SI
5017,BOMBONES DE PISTACHO X10unidades,"AZUCAR, CACAO Y REPOSTERIA",0,NO
1163,CACAO AMARGO DE BRASIL X KG.,"AZUCAR, CACAO Y REPOSTERIA",6,SI
2381,CAFE BRASIL BB X 250,INFUSIONES Y HIERBAS,2,SI
2382,CAFE COLOMBIA HUILA BB X250,INFUSIONES Y HIERBAS,2,SI
2383,CAFE DESCAFEINADO EXOTIC COLOMBIA BB X250,INFUSIONES Y HIERBAS,0,NO
2216,"CAFE VERDE X30 COMPRIMIDOS ""EL NATURALISTA""",SUPLEMENTOS,6,SI
2278,"CALDO DE HUESO "" MEDICINA ANCESTRAL""",PRODUCTOS CONGELADOS,2,SI
2154,"CALDO DE VERDURA SIN SAL ""El Naturalista"" x10sobres",ESPECIAS,13,SI
2155,"CALDO DE VERDURAS CON SAL ""El Naturalista"" x10sobres",ESPECIAS,-4,NO
1167,CANELA EN RAMA X KG,ESPECIAS,1,SI
1168,CANELA MOLIDA X KG.,ESPECIAS,1,SI
1176,CARDAMOMO X KG.,ESPECIAS,1,SI
1110,"CARDO MARIANO TINTURA MADRE X 60 CC ""EL NATURALISTA""",SUPLEMENTOS,0,NO
2080,"CARDOMARIANO x 30 cápsulas ""EL NATURALISTA""",SUPLEMENTOS,4,SI
2218,"CAROTENO X 10 cápsulas ""EL NATURALISTA""",SUPLEMENTOS,4,SI
2351,"CARQUEJA TINTURA MADRE ""EL NATURALISTA""",SUPLEMENTOS,2,SI
2170,"CASCARA SAGRADA GOTAS X 60 CC ""EL NATURALISTA""",SUPLEMENTOS,1,SI
1178,CASCARILLA DE CACAO X KG.,"AZUCAR, CACAO Y REPOSTERIA",5,SI
1180,CASTAÑAS CAJÚ VIETNAM X KG,FRUTOS SECOS,6,SI
5041,CASTAÑO DE INDIAS X60CC - EL NATURALISTA,SUPLEMENTOS,1,SI
1182,CEBOLLA EN ESCAMAS X KG.,ESPECIAS,1,SI
2038,CEDRON X KG,INFUSIONES Y HIERBAS,1,SI
2187,CENTELLA ASIATICA X 50 NATIER,SUPLEMENTOS,1,SI
2281,CENTELLA ASIATICA+GINKGOBILOBA+TEVERDE+HIBISCUS,SUPLEMENTOS,1,SI
4458,CEPILLO DENTAL SRISRI,PALADEAR HOME,10,SI
1188,"CEREZAS AL MARRASCHINO X 170 g ""AGROIANNI""",LINEA GOURMET,0,NO
1193,"CEREZAS AL MARRASCHINO X 330 g ""AGROIANNI""",LINEA GOURMET,4,SI
1201,CHIMICHURRI X KG.,ESPECIAS,0,SI
2517,CHIPA X480 GR - AFG,PRODUCTOS CONGELADOS,1,SI
1202,CHIPS DE BANANA X KG,DESHIDRATADOS,5,SI
5013,CHIPS SALADOS X80 GR - NUESTROS SABORES,PRODUCTOS SIN TACC,99,SI
2159,CHOCOLATE 100% COBERTURA SEMIAMARGO x kg - COLONIAL,"AZUCAR, CACAO Y REPOSTERIA",6,SI
1424,CHOCOLATE 80% COBERTURA SEMIAMARGO x kg - COLONIAL,"AZUCAR, CACAO Y REPOSTERIA",4,SI
1204,CHUCRUT X 600 GR,ENCURTIDOS,4,SI
1206,CIRUELA PRESIDENTE X KG.,DESHIDRATADOS,10,SI
1207,CIRUELAS D`AGEN C/CAROZO X KG,DESHIDRATADOS,7,SI
1208,CIRUELAS TIERNIZADAS S/C X KG,DESHIDRATADOS,5,SI
2076,"CITRATO DE MAGNESIO ""EL NATURALISTA""",SUPLEMENTOS,12,SI
2483,CITRATO DE MAGNESIO XKG,SUPLEMENTOS,3,SI
2077,"CITRATO DE POTASIO ""EL NATURALISTA""",SUPLEMENTOS,7,SI
1209,CLAVO DE OLOR ENTERO X KG.,ESPECIAS,1,SI
2432,CLORURO DE MAGNESIO X KG,SUPLEMENTOS,0,SI
1211,COCO EN ESCAMAS X KG,"AZUCAR, CACAO Y REPOSTERIA",8,SI
1212,COCO RALLADO X KG.,"AZUCAR, CACAO Y REPOSTERIA",3,SI
2469,"COLA DE PAVO EXTRACTO 60 cc ""SOMOS SETAS""",SUPLEMENTOS,1,SI
2049,"COLAGENO HIDROLIZADO CAPSULA X 50 CÁPSULAS ""NATIER""",SUPLEMENTOS,0,NO
2031,"COLAGENO HIDROLIZADO X KG ""PEPTAN B 2000 LD""",SUPLEMENTOS,6,SI
2222,"COLAGENO X 10 COMPRIMIDOS ""EL NATURALISTA""",SUPLEMENTOS,2,SI
1214,COMINO MOLIDO X KG.,ESPECIAS,1,SI
1219,CONDIMENTO PARA ARROZ X KG,ESPECIAS,1,SI
1228,COPOS DE MAIZ C/AZUCAR X KG,CEREALES,5,SI
1229,COPOS DE MAIZ X KG.,CEREALES,7,SI
1101,CORAZON DE ALCAUCIL CONDIM X 330 GR,ENCURTIDOS,6,SI
1230,CORAZONES DE ALCAUCIL X 300 GR,ENCURTIDOS,4,SI
1231,CORDERO CON PIEL DEL LOBO X 750CC,VINOS,3,SI
2105,"CORDYCEPS EXTRACTO 60CC ""SOMOS SETA""",SUPLEMENTOS,1,SI
2114,"CORDYCEPS X 60 CAPSULAS ""SOMOS SETA""",SUPLEMENTOS,2,SI
4465,CORIANDRO ENTERO X KG.,ESPECIAS,0,SI
1233,CORIANDRO MOLIDO,ESPECIAS,2,SI
5000,CRACKERS MEDITERRANEAS X100g,SNACK,8,SI
4455,CRACKERS PIMENTON AHUMADO X100GR,SNACK,7,SI
2238,CREATINA MONOHIDRATO,SUPLEMENTOS,3,SI
2292,CUENCOS DE CERÁMICA,PALADEAR HOME,0,NO
2169,"CURCUMA ACTIVADA CON PIMIENTA X 30 COMP. ""EL NATURALISTA""",SUPLEMENTOS,9,SI
1236,CURCUMA MOLIDA X KG,ESPECIAS,4,SI
2051,"CURCUMA+PIMIENTA X 50 CÁPSULAS ""NATIER""",SUPLEMENTOS,0,NO
2226,"CURCUMA, JENGIBRE Y PIMIENTA vitawellness x 30 cap",SUPLEMENTOS,1,SI
1239,CURRY X KG,ESPECIAS,2,SI
1240,CUSCUS X KG,GRANOS Y LEGUMBRES,4,SI
5028,DATILES DORADOS DE EGIPTO,DESHIDRATADOS,3,SI
2126,DELANTAL JEAN,PALADEAR HOME,1,SI
1003,DELANTAL LINO,PALADEAR HOME,2,SI
5009,DESODORANTE NATURAL - EL AMAUTA,PALADEAR HOME,2,SI
2072,DIENTE DE LEON XKG,INFUSIONES Y HIERBAS,-0,NO
2400,"DIFUSOR ""ILUMINARTE"" X 125 ml",PALADEAR HOME,7,SI
5035,DIFUSOR AUTO 12ml,PALADEAR HOME,8,SI
5045,DIFUSORES TAO 150ml,PALADEAR HOME,6,SI
1244,DULCE DE ALCAYOTA X 500 GR,"DULCES, MIEL Y CHOCOLATES",0,NO
2134,"DULCE DE LECHE CON STEVIA DOÑA MAGDALENA ""SIN TACC""","DULCES, MIEL Y CHOCOLATES",14,SI
2145,"DULCE DE LECHE DE COCO VEGANO ""SIN TACC"" - DOÑA MAGDALENA","DULCES, MIEL Y CHOCOLATES",13,SI
1254,DULCE DE MEMBRILLO X 1 KG,"DULCES, MIEL Y CHOCOLATES",5,SI
1253,DULCE DE MEMBRILLO X 500 GR,"DULCES, MIEL Y CHOCOLATES",5,SI
2512,DULCE MEMBRILLO SIN AZUCAR ORIETA 400gr,PRODUCTOS SIN TACC,3,SI
2485,"ELECTROLITOS ""SUMA"" - Sobre x 9 g",SUPLEMENTOS,141,SI
1259,ENELDO SEMILLAS X KG,SEMILLAS,2,SI
2402,"EQUINACEA TINTURA MADRE 60 cc ""EL NATURALISTA""",SUPLEMENTOS,0,NO
1263,"ESENCIA ARTIFICIAL DE VAINILLA X 100 CC ""INDIAS""","AZUCAR, CACAO Y REPOSTERIA",2,SI
5040,ESTRAGON,INFUSIONES Y HIERBAS,0,SI
2032,EUCALIPTUS X KG,INFUSIONES Y HIERBAS,2,SI
2257,"EXTRACTO DE VAINILLA NATURAL X 100 CC ""EL CASTILLO""","AZUCAR, CACAO Y REPOSTERIA",5,SI
1269,FECULA DE MANDIOCA X KG,HARINAS,12,SI
1863,"FIDEOS DE ARROZ ""PARTY BECK"" X 280GR",PRODUCTOS SIN TACC,9,SI
1685,"FIDEOS DE ARROZ VERDURA ""PARTY BECK"" X280GR",PRODUCTOS SIN TACC,22,SI
1270,FINAS HIERBAS X KG.,ESPECIAS,1,SI
2217,"FLEBOTONICO X30 COMPRIMIDOS ""EL NATURALISTA""",SUPLEMENTOS,1,SI
2470,FRAMBUESAS CONGELADAS X KG,PRODUCTOS CONGELADOS,0,NO
5014,FRASCO ESPECIERO VIDRIO,PALADEAR HOME,2,SI
1271,FRUTA ESCURRIDA X KG,DESHIDRATADOS,6,SI
1954,FRUTA MULTICOLOR X KG,DESHIDRATADOS,11,SI
5047,FRUTILLA GLASEADA XKG,"DULCES, MIEL Y CHOCOLATES",2,SI
1895,GALLETAS CACHAFAS ORGANICAS,SNACK,7,SI
2115,GALLETAS CACHAFAZ INTEGRALES,SNACK,15,SI
2280,GALLETAS SIN TACC X KG,PRODUCTOS SIN TACC,5,SI
2111,"GALLETAS SLIM DOS HERMANO ""SIN TACC""",PRODUCTOS SIN TACC,20,SI
2354,GALLETITAS DELICEL (SIN TACC) x 150 g,PRODUCTOS SIN TACC,32,SI
2101,GARAM MASALA XKG,ESPECIAS,-0,NO
2335,GARBANZOS X KG,GRANOS Y LEGUMBRES,5,SI
5046,GARRAPIÑADA DE GARBANZO CON SESAMO,"DULCES, MIEL Y CHOCOLATES",2,SI
1276,GARRAPIÑADA DE MANI X KG,"DULCES, MIEL Y CHOCOLATES",2,SI
1702,GELATINA SIN SABOR X KG,ESPECIAS,7,SI
1281,GERMEN DE TRIGO NATURAL X KG.,HARINAS,5,SI
2304,"GIN DE AUTOR LODON DRY x 750 cc ""TIERRA SANTA""",VINOS,2,SI
2301,"GIN DE AUTOR SABORIZADO x 500 cc ""TIERRA SANTA""",VINOS,11,SI
2082,"GINKGO BILOBA FORTE X 10 COMP. ""EL NATURALISTA""",SUPLEMENTOS,19,SI
2084,"GINSENG + MAGNESIO X 10 COMP. ""EL NATURALISTA""",SUPLEMENTOS,13,SI
2078,"GLICINATO DE MAGNESIO ""EL NATURALISA""",SUPLEMENTOS,10,SI
1282,GLUTEN DE TRIGO X KG,HARINAS,5,SI
2408,GOMA XANTICA,"AZUCAR, CACAO Y REPOSTERIA",0,SI
2241,GOTITAS DE CHOCO BLANCO X KG,"DULCES, MIEL Y CHOCOLATES",2,SI
2007,GOTITAS DE CHOCO SEMIAMARGO X KG,"DULCES, MIEL Y CHOCOLATES",2,SI
1912,GRANOLA CON CHOCO X KG,CEREALES,11,SI
1290,GRANOLA CON MIEL X KG,CEREALES,8,SI
5022,GRANOLA CRUNCH X 1 KG - HOMEMADE,CEREALES,4,SI
5023,GRANOLA FIT-CRUNCH X 1KG - HOMEMADE,CEREALES,3,SI
1286,GRANOLA MIX BERRIES X KG,CEREALES,2,SI
1287,GRANOLA MIX ENERGET X KG,CEREALES,8,SI
1897,GRANOLA MIX SIN PASAS X KG,CEREALES,8,SI
1289,GRANOLA MIX TROPICAL X KG,CEREALES,6,SI
1911,GRANOLA TRADICIONAL X KG,CEREALES,1,SI
1291,HARINA DE ALGARROBA X KG,HARINAS,4,SI
2315,HARINA DE ALMENDRAS C/PIEL,HARINAS,6,SI
1293,HARINA DE ALMENDRAS S/ PIEL X KG,HARINAS,0,SI
1294,HARINA DE ARROZ X KG,HARINAS,4,SI
5034,HARINA DE AVENA INTEGRAL SIN TACC X350gr DICOMERE,PRODUCTOS SIN TACC,4,SI
1295,HARINA DE AVENA X KG,HARINAS,1,SI
1297,HARINA DE CHIA X KG.,HARINAS,4,SI
1298,HARINA DE COCO X KG,HARINAS,5,SI
1299,HARINA DE GARBANZO X KG,HARINAS,2,SI
1300,HARINA DE LINO X KG,HARINAS,8,SI
1303,HARINA DE MAIZ BLANCO,HARINAS,4,SI
4466,HARINA DE NUEZ,HARINAS,4,SI
1306,HARINA INTEGRAL FINA X KG.,HARINAS,4,SI
1305,HARINA SOJA DESGR FINA X KG,HARINAS,4,SI
2041,HARINA TRIGO SARRACENO X KG,HARINAS,1,SI
2466,"HIBISCUS EXTRACTO 60 cc ""SOMOS SETAS""",SUPLEMENTOS,2,SI
1849,HIBISCUS FLOR X KG,INFUSIONES Y HIERBAS,4,SI
1309,HIGOS EN ALMIBAR X 450 GR,LINEA GOURMET,5,SI
1311,HIGOS TIERNIZADOS X KG,DESHIDRATADOS,2,SI
2370,HIPÉRICO TINTURA MADRE X 60 CC,SUPLEMENTOS,3,SI
1314,HONGOS SECOS X KG,ESPECIAS,2,SI
1316,HUMO NATURAL X 250 ML,LINEA GOURMET,0,NO
2012,INFUSOR PINZA,PALADEAR HOME,6,SI
5008,JABON DE JARILLA Y GLICERINA - EL AMAUTA,PALADEAR HOME,4,SI
5007,JABON LIQUIDO DE ROSA MOSQUETA - EL AMAUTA,PALADEAR HOME,1,SI
1654,JAZMIN XKG,INFUSIONES Y HIERBAS,1,SI
1883,JENGIBRE EN TROZOS XKG,INFUSIONES Y HIERBAS,0,SI
1319,JENGIBRE GLASEADO X KG,DESHIDRATADOS,2,SI
1320,JENGIBRE MOLIDO X KG.,ESPECIAS,2,SI
1324,"JUGO DE ARANDANOS X 1,5 LTS.",BEBIDAS,3,SI
1333,JULIANA SIN PAPA X KG,ESPECIAS,1,SI
2233,"KEFIR DE AGUA ""KE.LIVE"" SABORIZADO X 950 ML",BEBIDAS,19,SI
2395,KIMCHI VERDE VIDA 360 ml,LINEA GOURMET,2,SI
2459,KOMBUCHA EYWA 354 ml,BEBIDAS,0,NO
2447,LA IRIDE CHAMP EXTRA BRUT X 750 cc,VINOS,2,SI
1107,LAS PERDICES BRUT ROSÉ X750ml,VINOS,4,SI
1704,LAS PERDICES MALBEC X 750,VINOS,0,NO
1706,LAS PERDICES SAUVI BLANC X 750,VINOS,3,SI
1350,LAUREL EN HOJAS X KG.,ESPECIAS,1,SI
2037,LAVANDA X KG,INFUSIONES Y HIERBAS,1,SI
1727,LECHE DE COCO EN POLVO X KG,BEBIDAS,5,SI
2316,LENTEJA DE CHOCOLATE XKG,"DULCES, MIEL Y CHOCOLATES",6,SI
1358,LENTEJAS TURCAS X KG,GRANOS Y LEGUMBRES,7,SI
1359,LENTEJAS X KG.,GRANOS Y LEGUMBRES,8,SI
1360,LEVADURA DE CERVEZA NUTRICIONAL X KG,ESPECIAS,4,SI
2086,LEVADURA DE CERVEZA SABOR QUESO X200GR,SUPLEMENTOS,1,SI
1458,"LEVADURA TITAN EN COPOS X200GR ""SIN TACC""",SUPLEMENTOS,2,SI
1363,MACA EN POLVO X KG.,ESPECIAS,3,SI
2504,MAGNESIO EN POLVO NATIER X150g,SUPLEMENTOS,2,SI
2056,"MAGNESIO X 50 CÁPSULAS ""NATIER""",SUPLEMENTOS,3,SI
1364,MAIZ BCO PISADO PARTIDO X KG,GRANOS Y LEGUMBRES,7,SI
1365,MAIZ FRITO SALADO X KG,FRUTOS SECOS,6,SI
1366,MAIZ PSINGALLO,GRANOS Y LEGUMBRES,3,SI
2095,MALVA X KG,INFUSIONES Y HIERBAS,1,SI
2317,MANGO EN TROZOS CONGELADOS XKG,PRODUCTOS CONGELADOS,2,SI
1375,MANI C/CASCARA X KG,FRUTOS SECOS,4,SI
2008,MANI C/CHOCO SEMIAMARGO XKG,"DULCES, MIEL Y CHOCOLATES",8,SI
1378,MANI JAPONES,FRUTOS SECOS,3,SI
1379,MANI SABORIZADO X KG,FRUTOS SECOS,8,SI
1380,MANI TOSTADO SALADO X KG,FRUTOS SECOS,14,SI
1381,MANI TOSTADO X KG.,FRUTOS SECOS,5,SI
2269,"MANTECA CLARIFICADA GHEE ""ENTRENUTS"" X370",MANTECAS Y PASTAS,4,SI
5021,MANTECA CLARIFICADA X150 GR - ENTRENUTS,MANTECAS Y PASTAS,8,SI
2307,MANTELITOS ARTESANALES (POLIÉSTER),PALADEAR HOME,2,SI
1383,"MANTEQUILLA DE MANI ""ENTRENUTS"" X 370 g",MANTECAS Y PASTAS,10,SI
5030,MANTEQUILLA DE MANI CON STEVIA X370 CC - ENTRENUTS,MANTECAS Y PASTAS,5,SI
5012,MANTEQUILLA DE MANI PROTEICA X370 GR - ENTRENUTS,MANTECAS Y PASTAS,25,SI
5044,MANZANILLA IMPORTADA XKG,INFUSIONES Y HIERBAS,1,SI
2186,MARACUYA CONGELADO X KG,PRODUCTOS CONGELADOS,3,SI
2088,MARCIANO WINE MALBEC,VINOS,6,SI
1159,MASTROENI CABERNET FRANC X 750 CC,VINOS,2,SI
1700,MASTROENI EXTRA BRUT,VINOS,3,SI
2179,MATCHA X KG,INFUSIONES Y HIERBAS,1,SI
2515,"MAYONESA ""MAYOV"" X 270GR",LINEA GOURMET,28,SI
1394,MEDALLONES DURAZ. X KG,DESHIDRATADOS,5,SI
2057,"MEDALLONES VEGETARIANOS ""KISLEV""",PRODUCTOS CONGELADOS,16,SI
2468,"MELENA DE LEON EN POLVO 30 g ""SOMOS SETAS""",SUPLEMENTOS,1,SI
2380,"MELENA DE LEON EXTRACTO 60cc ""SOMOS SETA""",SUPLEMENTOS,2,SI
2112,"MELENA DE LEON X 60 CAPSULAS ""SOMOS SETA""",SUPLEMENTOS,2,SI
2162,"MELENA+ REISHI X 60CC ""SOMOS SETA""",SUPLEMENTOS,1,SI
2116,"MELENA+ASHWAGANDHA X 60CC ""SOMOS SETA""",SUPLEMENTOS,2,SI
2371,MELISA TINTURA MADRE X 60 CC,SUPLEMENTOS,3,SI
2039,MELISA X KG,INFUSIONES Y HIERBAS,1,SI
2229,"MEMBRILLITOS X30Gr ""PIZARRO""","DULCES, MIEL Y CHOCOLATES",40,SI
2040,MENTA HOJAS X KG,INFUSIONES Y HIERBAS,1,SI
2308,MERKEN CHILENO X KG,ESPECIAS,2,SI
2153,"MERMELADA ""DOÑA MAGDALENA"" C/STEVIA ""SIN TACC""","DULCES, MIEL Y CHOCOLATES",8,SI
2123,"MERMELADA DE CITRICOS ""LAS DOÑAS""","DULCES, MIEL Y CHOCOLATES",2,SI
2122,"MERMELADA DE FRUTILLAS Y ARANDANOS ""LAS DOÑAS""","DULCES, MIEL Y CHOCOLATES",0,NO
5020,MERMELADA DE FRUTOS DEL BOSQUE X450 GR - LA CASITA DE LA ABUELI,"DULCES, MIEL Y CHOCOLATES",3,SI
5018,MERMELADA DE MEMBRILLO X450GR - LA CASITA DE LA ABUELI,"DULCES, MIEL Y CHOCOLATES",3,SI
2368,"MERMELADA DE PERAS AL MALBEC ""LAS DOÑAS""","DULCES, MIEL Y CHOCOLATES",6,SI
2124,"MERMELADA DE PERAS Y JENGIBRE ""LAS DOÑAS""","DULCES, MIEL Y CHOCOLATES",3,SI
5019,MERMELADA DEDURAZNO X450 GR - LA CASITA DE LA ABUELI,"DULCES, MIEL Y CHOCOLATES",1,SI
