nombre,cantidades,info,sabores,imagen,mix,Artículo,oferta,Estado,Rubro
VINAGRE DE VINO X1 L - CAMINITO,1 UNIDAD,"Vinagre de aroma vínico y acidez definida, ideal para ensaladas, marinadas y conservas. Se usa en pequeñas cantidades y aporta muy pocas grasas y proteínas.",,https://drive.google.com/file/d/1yHwikOO8DfT2iRsVUjIG1jg68yrIPabq/view,,1639,,✅ en precios,ACEITES Y VINAGRES
ACEITUNAS GRIEGAS X 1 KG - RODRIGO DE VIVAR,1 UNIDAD,"Aceitunas negras de sabor intenso y textura carnosa, ideales para picadas, ensaladas y panes. Aportan grasas monoinsaturadas y vitamina E; por su conservación en salmuera también contienen sodio.",,https://drive.google.com/file/d/1SjcAtYy5_pKiEW-oqI36ukrQb6o0NxYr/view,,1024,,✅ en precios,ACEITUNAS
ACEITUNAS GRIEGAS X 500GR - RODRIGO DE VIVAR,1 UNIDAD,"Aceitunas negras de sabor intenso y textura carnosa, ideales para picadas, ensaladas y panes. Aportan grasas monoinsaturadas y vitamina E; por su conservación en salmuera también contienen sodio.",,https://drive.google.com/file/d/16Yw8SvRLXB2M439BnKEK40CIRBBSqata/view,,1025,,✅ en precios,ACEITUNAS
ACEITUNAS RELLENAS X 200 GR - DURANG,1 UNIDAD,"Aceitunas rellenas de sabor salado y textura firme, prácticas para picadas, aperitivos y ensaladas. Su relleno aporta un contraste sabroso que las convierte en un bocado listo para servir.",,https://drive.google.com/file/d/1tdWgffM1O9ps3tBKETvpjZ0ze8Uc8bzs/view,,1036,,✅ en precios,ACEITUNAS
ACEITUNAS VERDES Nº 00 X 1 KG - RODRIGO DE VIVAR,1 UNIDAD,"Aceitunas verdes de pulpa firme y sabor característico, ideales para picadas, ensaladas y preparaciones saladas. Aportan grasas monoinsaturadas y vitamina E; la salmuera incrementa su contenido de sodio.",,https://drive.google.com/file/d/1-z9vQ_0VyEe9tTblrjKuiokNv3ecj9If/view,,1043,,✅ en precios,ACEITUNAS
ACEITUNAS VERDES Nº 00 X 500GR - RODRIGO DE VIVAR,1 UNIDAD,"Aceitunas verdes de pulpa firme y sabor característico, ideales para picadas, ensaladas y preparaciones saladas. Aportan grasas monoinsaturadas y vitamina E; la salmuera incrementa su contenido de sodio.",,https://drive.google.com/file/d/1xQum6K1Y6_d4pTL6TDoxM-7yFwDqPcub/view,,1049,,✅ en precios,ACEITUNAS
ACEITUNAS VERDES Nº 1 X 500GR - RODRIGO DE VIVAR,1 UNIDAD,"Aceitunas verdes de pulpa firme y sabor característico, ideales para picadas, ensaladas y preparaciones saladas. Aportan grasas monoinsaturadas y vitamina E; la salmuera incrementa su contenido de sodio.",,https://drive.google.com/file/d/1SIvCTtZG5forSTYSfwmyICZU81Yw9d1P/view,,1050,,✅ en precios,ACEITUNAS
ACEITUNAS VERDES Nº0 X 1 KG - RODRIGO DE VIVAR,1 UNIDAD,"Aceitunas verdes de pulpa firme y sabor característico, ideales para picadas, ensaladas y preparaciones saladas. Aportan grasas monoinsaturadas y vitamina E; la salmuera incrementa su contenido de sodio.",,https://drive.google.com/file/d/1GUWDFv2V60PKV_pMiNbc59OmKZdEFN4o/view,,1044,,✅ en precios,ACEITUNAS
ACEITUNAS VERDES Nº1 X 1 KG - RODRIGO DE VIVAR,1 UNIDAD,"Aceitunas verdes de pulpa firme y sabor característico, ideales para picadas, ensaladas y preparaciones saladas. Aportan grasas monoinsaturadas y vitamina E; la salmuera incrementa su contenido de sodio.",,https://drive.google.com/file/d/1_JEVQnhaBGEd7N9I2nZCGb7CEOGNDCgC/view,,1045,,✅ en precios,ACEITUNAS
AZUCAR IMPALPABLE,250G/500G/1KG,"Azúcar molida muy fina, de textura sedosa y rápida disolución, ideal para glasés, coberturas, rellenos y decoración. Ayuda a lograr terminaciones delicadas y homogéneas en repostería.",,https://drive.google.com/file/d/1A0qdFEmUs_jNrUES8ccOmdecshqTJqma/view,,1140,,✅ en precios,"AZUCAR, CACAO Y REPOSTERIA"
AZUCAR MASCABO,250G/500G/1KG,"Azúcar de caña de sabor intenso, notas acarameladas y textura húmeda, útil en infusiones y repostería. Aporta principalmente hidratos de carbono simples; sus minerales se encuentran en cantidades pequeñas.",,https://drive.google.com/file/d/10WsWJ94Z3AzM3O5DXfjBiWYjoFBCgCk6/view,,1141,,✅ en precios,"AZUCAR, CACAO Y REPOSTERIA"
AZUCAR NEGRA,1KG,"Azúcar de color oscuro, textura húmeda y sabor profundo a melaza, ideal para panes, galletas y tortas. Aporta humedad, color y un perfil acaramelado a las preparaciones.",,https://drive.google.com/file/d/14zx8vpTVr0QajXK3Sfe-E-SEb5X-EwMD/view,,1142,,✅ en precios,"AZUCAR, CACAO Y REPOSTERIA"
BOMBONES DE PISTACHO X10unidades,1 UNIDAD,"Bombones de textura cremosa y sabor marcado a pistacho, pensados para disfrutar o regalar. Una combinación delicada, intensa y lista para convertir cualquier momento en algo especial.",,https://drive.google.com/file/d/18QhrQrnxqnXwRf3l8_QKs1Vxg5BoLnVc/view,,5017,,✅ en precios,"AZUCAR, CACAO Y REPOSTERIA"
CACAO AMARGO DE BRASIL,100G/250G/1KG,"Cacao sin azúcar de sabor intenso, ideal para repostería, bebidas y preparaciones con chocolate. Aporta fibra, minerales como magnesio y hierro, y compuestos antioxidantes naturales del cacao.",,https://drive.google.com/file/d/19jMlGqwqxZcMIC8f7D5QAQIHX8we9RiH/view,,1163,,✅ en precios,"AZUCAR, CACAO Y REPOSTERIA"
CASCARILLA DE CACAO,100G/250G/1KG,"Cáscara aromática del grano de cacao, ideal para preparar infusiones con notas suaves a chocolate. Contiene fibra y compuestos naturales del cacao; su aporte depende de la cantidad utilizada y del modo de preparación.",,https://drive.google.com/file/d/15FzyEn5HGuv699E9UBWoUIJT_oI7QHZ3/view,,1178,,✅ en precios,"AZUCAR, CACAO Y REPOSTERIA"
CHOCOLATE 100%  COBERTURA SEMIAMARGO - COLONIAL,100G/250G/1KG,"Cobertura de cacao de sabor profundo y dulzor equilibrado, ideal para fundir, bañar y elaborar postres. Aporta brillo, cuerpo y una terminación intensa a tortas, bombones y preparaciones de repostería.",,https://drive.google.com/file/d/1pRzT_PG0qDeuoegFcfWK0_YyO5TV9Z6I/view,,2159,,✅ en precios,"AZUCAR, CACAO Y REPOSTERIA"
CHOCOLATE 80%  COBERTURA SEMIAMARGO - COLONIAL,100G/250G/1KG,"Cobertura de chocolate de sabor intenso y amargor equilibrado, ideal para repostería y baños. Su alto contenido de cacao aporta grasas, fibra y minerales; la cantidad de azúcar depende de la formulación.",,https://drive.google.com/file/d/1zyQZPREc2SPSOIiZ2MfzoAFZ6nrrUxma/view,,1424,,✅ en precios,"AZUCAR, CACAO Y REPOSTERIA"
COCO EN ESCAMAS,100G/250G/1KG,"Coco deshidratado en láminas, de sabor suave y textura crocante, ideal para granolas, yogures y repostería. Aporta fibra y grasas, con predominio de grasas saturadas, además de minerales en cantidades variables.",,https://drive.google.com/file/d/13yWZQOqu5ijl1s3GTfAvjgy0utjCmGfq/view,si,1211,,✅ en precios,"AZUCAR, CACAO Y REPOSTERIA"
COCO RALLADO,100G/250G/1KG,"Pulpa de coco deshidratada y rallada, de sabor dulce natural y textura fina, ideal para tortas, galletas, rellenos y granolas. Aporta fibra, aroma tropical y una textura muy agradable.",,https://drive.google.com/file/d/11d9JIijSF4dXlpzMgEpFLAulVjL2LUCH/view,si,1212,,✅ en precios,"AZUCAR, CACAO Y REPOSTERIA"
ESENCIA ARTIFICIAL DE VAINILLA X 100 CC - INDIAS,1 UNIDAD,"Saborizante concentrado con aroma a vainilla, práctico para perfumar tortas, cremas y postres. Se utiliza en pequeñas cantidades y su composición puede incluir aromatizantes, colorantes o conservantes según la etiqueta.",,https://drive.google.com/file/d/19bIyRbLXWdeAbAWXd48C-5h7_3Batcai/view,,1263,,✅ en precios,"AZUCAR, CACAO Y REPOSTERIA"
EXTRACTO DE VAINILLA NATURAL X 100 CC - EL CASTILLO,1 UNIDAD,"Extracto aromático de vainilla, de perfil cálido y complejo, ideal para repostería, bebidas y postres. Se usa en pequeñas cantidades; su aporte nutricional por porción suele ser reducido.",,https://drive.google.com/file/d/1mIsDkXBC2n8_YaXjNskxqYG9QTyf3XTg/view,,2257,,✅ en precios,"AZUCAR, CACAO Y REPOSTERIA"
GOMA XANTICA ,100G/250G/1KG,"Espesante y estabilizante de uso culinario, especialmente útil para mejorar la textura de masas, salsas y preparaciones sin gluten. Se emplea en cantidades pequeñas y aporta principalmente fibra soluble.",,https://drive.google.com/file/d/1sapHAnz98e93LeCTwWNmDUQ-H0Pvjjpq/view,,2408,,✅ en precios,"AZUCAR, CACAO Y REPOSTERIA"
JARABE DE DATILES - LYNA,1 UNIDAD,"Endulzante de sabor frutado y acaramelado, útil en yogures, panqueques y repostería. Aporta principalmente hidratos de carbono simples; puede contener pequeñas cantidades de minerales propios del dátil.",,https://drive.google.com/file/d/1BNWF5zjeaQYcLiT1jTvKF1Lia2D3diqs/view,,2439,,✅ en precios,"AZUCAR, CACAO Y REPOSTERIA"
POLVO PARA HORNEAR,100G/250G/1KG,"Agente leudante que ayuda a dar volumen y una miga más aireada a tortas, muffins y panes rápidos. Se utiliza en pequeñas cantidades y su contenido de sodio depende de la formulación.",,https://drive.google.com/file/d/1GHmgiodbITLTxkJV3qFZXUV9Aadydfhl/view,,2348,,✅ en precios,"AZUCAR, CACAO Y REPOSTERIA"
STEVIA HOJAS,100G/250G/1KG,"Hojas de stevia de dulzor natural intenso, aptas para preparar infusiones o endulzar de forma gradual. Se usan en pequeñas cantidades y aportan muy poca energía en la porción habitual.",,https://drive.google.com/file/d/1yd4cyD-09--TFiv5cH6A5pKpTQjhS8tC/view,si,2178,,✅ en precios,INFUSIONES Y HIERBAS
STEVIA LIQUIDA X120 ML SIN TACC - DULRI,1 UNIDAD,"Endulzante a base de stevia, de sabor intenso y uso práctico en bebidas y preparaciones. Una pequeña cantidad alcanza para aportar dulzor y se integra fácilmente en recetas frías o calientes.",,https://drive.google.com/file/d/1MdWypJGgNjrdvMXpqsRbOpq6yk1lqS1q/view,,2099,,✅ en precios,"AZUCAR, CACAO Y REPOSTERIA"
STEVIA X100 SOBRES SIN TACC - DULRI,1 UNIDAD,"Endulzante a base de stevia, de sabor intenso y uso práctico en bebidas y preparaciones. Una pequeña cantidad alcanza para aportar dulzor y se integra fácilmente en recetas frías o calientes.",,https://drive.google.com/file/d/1jNI3cM6YZwS9ca--DrH_NE26wlX3BnsC/view,,2098,,✅ en precios,"AZUCAR, CACAO Y REPOSTERIA"
"JUGO DE ARANDANOS X1,5 L - FITOPLUS",1 UNIDAD,"Bebida frutal de sabor ácido y refrescante, ideal para tomar bien fría o sumar a tragos sin alcohol. Los arándanos aportan su color característico y compuestos antioxidantes naturales.",CON STEVIA/CON SUCRALOSA/CON SEMILLAS DE CHIA,https://drive.google.com/file/d/1EXfxe04nERNmj0f-T0n6JU8W6es32oUv/view,,1324,,✅ en precios,BEBIDAS
KEFIR DE AGUA SABORIZADO X950 ML - KE.LIVE,1 UNIDAD,Bebida fermentada de sabor levemente ácido y burbujeante. Puede aportar microorganismos vivos propios de la fermentación; el contenido de azúcar y la cantidad de cultivos dependen de la elaboración.,FRUTILLA/NARANJA-MANZANA/LIMON-NARANJA/LIMON-JENGIBRE-NARANJA,https://drive.google.com/file/d/1sWZyLQ4U7Sao99ttJvgzi6UXXrwu6Bz_/view,,2233,,✅ en precios,BEBIDAS
KOMBUCHA X354 ML - EYWA,1 UNIDAD,"Bebida de té fermentado, refrescante y ligeramente ácida, con una agradable efervescencia natural. Ideal para disfrutar fría como una alternativa distinta y llena de sabor.",ANANA Y NARANJA/LIMON Y JENGIBRE/MARACUYA/LAVANDA Y MANZANILLA/MENTA Y LEMONGRASS/HIBISCUS Y ROSA MOSQUETA,https://drive.google.com/file/d/1UotVNl4CN8ktpjb51NTLKiaHWnXxBAIs/view,,2459,,✅ en precios,BEBIDAS
LECHE DE ALMENDRAS X 1 L - COCOON,1 UNIDAD,"Bebida vegetal de sabor suave, práctica para desayunos, licuados y recetas. Su aporte de proteínas, calcio y azúcares depende de la formulación y del agregado de nutrientes indicado en la etiqueta.",,https://drive.google.com/file/d/16mVUrrkYQ7WWD2YJW9mEQjNalKXaBiCD/view,,1351,,❌ no está en precios,
LECHE DE COCO EN POLVO,100G/250G/1KG,"Coco deshidratado en polvo para preparar bebidas, salsas y postres de textura cremosa. Aporta principalmente grasas, con predominio de grasas saturadas; la composición puede variar según la formulación.",,https://drive.google.com/file/d/1avRNwF5Bzk5yg3i5ZHPG-BwUMo3bhjUb/view,,1727,,✅ en precios,BEBIDAS
ALMOHADITAS DE CHOCOLATE ,250G/500G/1KG,"Cereal crocante saborizado, práctico para desayunos y colaciones. Aporta principalmente hidratos de carbono; el contenido de azúcares, grasas y sodio depende de la formulación.",,https://drive.google.com/file/d/1WtjiyZpSTUeVK4OcYc1z6_cZs3ZOjiHQ/view,si,1115,,✅ en precios,CEREALES
ALMOHADITAS DE FRUTILLA,250G/500G/1KG,"Cereal crocante saborizado, práctico para desayunos y colaciones. Aporta principalmente hidratos de carbono; el contenido de azúcares, grasas y sodio depende de la formulación.",,https://drive.google.com/file/d/1yZdc6EAeBDlf895N0uizyQGemJi7ivZ-/view,si,1117,,✅ en precios,CEREALES
ALMOHADITAS DE LIMON,250G/500G/1KG,"Cereal crocante saborizado, práctico para desayunos y colaciones. Aporta principalmente hidratos de carbono; el contenido de azúcares, grasas y sodio depende de la formulación.",,https://drive.google.com/file/d/1M76YRVivSWU1mROLRo7d1MfwQg3ypEI6/view,si,1118,,✅ en precios,CEREALES
ALMOHADITAS DOS SALVADOS,250G/500G/1KG,"Cereal crocante elaborado con salvado, ideal para desayunos y colaciones. Aporta hidratos de carbono y fibra, y combina muy bien con yogur, leche, frutas o bebidas vegetales.",,https://drive.google.com/file/d/1tWKPU9lnGg_x3xO5qKoe1Xe1Yoj0Qzby/view,si,1114,,✅ en precios,CEREALES
ANILLOS DE AVENA Y MIEL,250G/500G/1KG,"Cereal de sabor suave y textura versátil, ideal para desayunos, granolas, galletas y preparaciones calientes. Aporta hidratos de carbono complejos, fibra soluble y proteína vegetal, además de minerales como magnesio y fósforo.",,https://drive.google.com/file/d/1ypkgGfypNVXdAyhu3e_tctFL_pvRh2ih/view,si,1121,,✅ en precios,CEREALES
ANILLOS FRUTADOS,250G/500G/1KG,"Cereal crocante saborizado, práctico para desayunos y colaciones. Aporta principalmente hidratos de carbono; el contenido de azúcares, grasas y sodio depende de la formulación.",,https://drive.google.com/file/d/1Ud1G3_GTKzOJlgQUuWIsDS8gW8W7uN1n/view,si,1122,,✅ en precios,CEREALES
AVENA ARROLLADA GRUESA,250G/500G/1KG,"Cereal de sabor suave y textura versátil, ideal para desayunos, granolas, galletas y preparaciones calientes. Aporta hidratos de carbono complejos, fibra soluble y proteína vegetal, además de minerales como magnesio y fósforo.",,https://drive.google.com/file/d/1Y6Do4jttfSx_kCoknumMYRFQ8oP-lEw2/view,si,1135,,✅ en precios,CEREALES
AVENA INSTANTÁNEA,250G/500G/1KG,"Cereal de sabor suave y textura versátil, ideal para desayunos, granolas, galletas y preparaciones calientes. Aporta hidratos de carbono complejos, fibra soluble y proteína vegetal, además de minerales como magnesio y fósforo.",,https://drive.google.com/file/d/1T1EtpnddycW6n2lZy9DxfBBXFpMvdROQ/view,si,1136,,✅ en precios,CEREALES
AVENA TRADICIONAL,250G/500G/1KG,"Cereal de sabor suave y textura versátil, ideal para desayunos, granolas, galletas y preparaciones calientes. Aporta hidratos de carbono complejos, fibra soluble y proteína vegetal, además de minerales como magnesio y fósforo.",,https://drive.google.com/file/d/1Wrrzd3hO2ew6ry9B0tZ9rpmtMPzYcWhv/view,si,1137,,✅ en precios,CEREALES
BASTONCITOS DE SALVADO DE TRIGO Y AVENA,250G/500G/1KG,"Cereal de sabor suave y textura versátil, ideal para desayunos, granolas, galletas y preparaciones calientes. Aporta hidratos de carbono complejos, fibra soluble y proteína vegetal, además de minerales como magnesio y fósforo.",,https://drive.google.com/file/d/19pulxRbH7xL56FagImtf_tiyKI4iPlvm/view,si,1147,,✅ en precios,CEREALES
BOLITAS DE CHOCOLATE,250G/500G/1KG,"Cereal crocante saborizado, práctico para desayunos y colaciones. Aporta principalmente hidratos de carbono; el contenido de azúcares, grasas y sodio depende de la formulación.",,https://drive.google.com/file/d/1Q56-RkzQo7pP8geqUZ-AGVchPl4ItYdr/view,si,1155,,✅ en precios,CEREALES
COPOS DE MAIZ,250G/500G/1KG,"Cereal de maíz liviano y crocante, práctico para desayunos y colaciones. Aporta principalmente hidratos de carbono; el contenido de azúcares y sodio depende de la formulación.",,https://drive.google.com/file/d/1P4UdCh-pg94nJfhD1wCBCNyniZMLzkwi/view,si,1229,,✅ en precios,CEREALES
COPOS DE MAIZ CON AZUCAR,250G/500G/1KG,"Cereal de maíz crocante con un toque dulce, práctico para desayunos y colaciones. Su textura liviana combina muy bien con leche, yogur, frutas o bebidas vegetales.",,https://drive.google.com/file/d/1L5n634OGcpybf7dAGm0hTnbx3y-OXPZC/view,si,1228,,✅ en precios,CEREALES
GRANOLA CON CHIPS DE CHOCOLATE,250G/500G/1KG,"Mezcla crocante a base de cereales, pensada para combinar con yogur, leche o frutas. Aporta hidratos de carbono, fibra y, según sus ingredientes, grasas y proteína vegetal; azúcares y calorías varían según la receta.",,https://drive.google.com/file/d/1wt5BnuZzh5Ef8olB_3V36TU-2dfdI8AK/view,,1912,,✅ en precios,CEREALES
GRANOLA CROCANTE CON MIEL,250G/500G/1KG,"Mezcla crocante a base de cereales, pensada para combinar con yogur, leche o frutas. Aporta hidratos de carbono, fibra y, según sus ingredientes, grasas y proteína vegetal; azúcares y calorías varían según la receta.",,https://drive.google.com/file/d/1GRbVoWoDOkU_AvvBDfQaq4LRhRUXGqNL/view,,1290,,✅ en precios,CEREALES
